up_reach,dn_reach,region,neighbor_rank,min_gap_m,dist_expected_combo_m,up_type,dn_type,up_river,dn_river,up_width_m,dn_width_m,up_lakeflag,dn_lakeflag,up_end_reach,dn_end_reach,up_dist_out,dn_dist_out,up_facc,dn_facc,up_n_up,up_n_dn,dn_n_up,dn_n_dn,up_dn_lat,up_dn_lon,dn_up_lat,dn_up_lon,in_v17b,category,up_type_label,dn_type_label
14540300041,14540300031,AF,0,14821.0,14989.0,1,1,Bandama River,Bandama River,11.3,184.0,0,0,0,0,176050.0,170332.0,186171.0,186473.0,1,1,1,1,6.2208,-5.0349,6.1142,-4.9515,yes,width_mismatch,river,river
33184000271,33184000071,AS,0,14187.0,14563.0,1,1,NODATA,NODATA,45.0,120.0,0,0,0,3,1510902.0,1492089.0,517.0,10453.0,1,1,2,1,67.6526,113.9641,67.7758,113.8455,yes,river_river,river,river
12306200171,12306200161,AF,0,13155.0,13155.0,1,1,Save,Save,163.0,144.0,0,0,0,0,555697.0,538328.0,36574.0,37015.0,1,1,1,1,-19.9711,32.3468,-20.0895,32.3427,yes,river_river,river,river
71224300023,71224200036,NA,1,12700.0,12700.0,3,6,NODATA,NODATA,778.0,954.0,1,1,3,1,1322493.0,1330305.0,203004.0,83118.0,1,2,1,1,50.15,-95.026,50.2602,-94.9776,no,v17c_added,lake_on_river,ghost
35301100891,35301100451,AS,0,12497.0,12802.0,1,1,NODATA,NODATA,60.0,92.0,0,0,0,3,250828.0,235550.0,230.0,4049.0,1,1,2,1,67.7863,179.424,67.8856,179.2686,yes,river_river,river,river
33172600601,33172600031,AS,0,11771.0,11771.0,1,1,NODATA,NODATA,139.0,254.0,0,0,3,3,290483.0,273758.0,25395.0,47807.0,2,1,2,1,71.8586,111.081,71.8934,110.759,yes,river_river,river,river
42410101034,42410101021,AS,0,11562.0,11723.0,4,1,NODATA,NODATA,92.0,80.0,0,0,0,0,35294.0,34898.0,1279.0,1924.0,1,1,1,1,40.0781,127.4849,39.9725,127.4818,yes,river_river,dam,river
32273900073,32273900063,AS,0,11456.0,11643.0,3,3,Angara River,NODATA,1924.7,10503.0,1,1,0,3,2962631.0,2950494.0,3209831.0,3210015.0,1,1,2,1,57.1968,102.3583,57.3014,102.3433,yes,lake_or_tidal,lake_on_river,lake_on_river
35424500121,35424500101,AS,0,11253.0,11431.0,1,1,Kamchatka River,Kamchatka River,307.0,345.0,0,0,0,0,324311.0,305893.0,69311.0,69992.0,1,1,1,1,55.9515,159.7102,56.0435,159.7931,yes,river_river,river,river
64254000041,64254000031,SA,0,10426.0,10426.0,1,1,Rio Piquiri,Rio Piquiri,298.0,228.0,0,0,0,0,1995714.0,1984306.0,20804.0,27107.0,1,1,1,1,-24.0961,-53.9901,-24.0049,-53.9653,yes,river_river,river,river
35601800201,35601800191,AS,0,9951.0,10130.0,1,1,Ola,Ola,108.0,108.0,0,0,3,0,70038.0,53433.0,4599.0,4655.0,2,1,1,1,60.0044,151.5665,59.9132,151.5625,yes,river_river,river,river
35200100181,35200100105,AS,0,8902.0,9420.0,1,5,NODATA,NODATA,42.0,105.0,0,3,0,3,25028.0,5492.0,383.0,1284.0,1,1,2,1,73.5493,142.8815,73.6294,142.9809,yes,unreliable_or_ghost,river,unreliable
46300200191,46300200111,AS,0,8591.0,8807.0,1,1,NODATA,NODATA,54.0,71.5,0,0,0,3,117722.0,106858.0,1439.0,3184.0,1,1,2,1,45.7927,80.9894,45.8567,80.922,yes,river_river,river,river
26142600011,26142500031,EU,0,8359.0,8557.0,1,1,NODATA,NODATA,67.0,366.0,0,0,0,3,449082.0,437650.0,4228.0,25646.0,1,1,2,1,63.7419,44.6796,63.8137,44.743,yes,river_river,river,river
73270900155,73281000086,NA,1,8035.0,8035.0,5,6,Bear Creek,Big Briar Creek,189.0,48.0,3,3,3,1,115347.0,97664.0,124.0,20.0,1,2,1,1,30.928,-87.9096,30.8819,-87.9746,no,v17c_added,unreliable,ghost
14550000055,14550000045,AF,0,8016.0,8211.0,5,5,NODATA,NODATA,300.0,512.0,3,3,3,3,18624.0,8131.0,378.0,8315.0,1,1,2,1,5.1368,-5.1553,5.1355,-5.081,yes,unreliable_or_ghost,unreliable,unreliable
44403800081,44403800071,AS,0,7782.0,7916.0,1,1,Sungai Galas,NODATA,152.0,240.0,0,0,0,3,118491.0,105318.0,15641.0,25788.0,1,1,2,1,5.4571,102.1588,5.5213,102.1901,yes,river_river,river,river
34211101285,34100006595,AS,0,7124.0,7531.0,5,5,NODATA,NODATA,94.0,424.0,3,3,3,3,43954.0,33333.0,1226163.0,2274005.0,1,1,2,1,73.025,128.1478,73.0686,128.3263,yes,unreliable_or_ghost,unreliable,unreliable
72350100175,72350100165,NA,0,7114.0,7114.0,5,5,Kenamu River,Kenamu River,35443.0,34760.5,3,3,0,3,155527.0,152539.0,126524.0,126524.0,1,1,1,1,53.6644,-59.8292,53.6767,-59.723,yes,unreliable_or_ghost,unreliable,unreliable
46393000281,46393000273,AS,0,6872.0,7055.0,1,3,Chilik River,Chilik River,63.0,1240.7,0,1,0,0,580401.0,571317.0,3912.0,3912.0,1,1,1,1,43.2724,78.4753,43.3317,78.5068,yes,lake_or_tidal,river,lake_on_river
67203000341,67203000335,SA,0,6828.0,6949.0,1,5,NODATA,NODATA,54.0,84.0,0,3,0,0,20604.0,3346.0,380.0,644.0,1,1,1,1,-0.0263,-80.017,0.0007,-80.0735,yes,unreliable_or_ghost,river,unreliable
74262300481,74262300956,NA,1,6194.0,6194.0,1,6,Tennessee River,Tennessee River,434.0,214.0,0,1,3,1,2291791.0,2281410.0,78098.0,20088.0,1,2,1,1,34.7469,-85.8611,34.797,-85.8313,no,v17c_added,river,ghost
35170600611,35170600591,AS,0,6129.0,6463.0,1,1,NODATA,NODATA,42.0,36.0,0,0,0,0,314738.0,298660.0,3482.0,3754.0,1,1,1,1,69.7271,156.8862,69.7412,157.0494,yes,river_river,river,river
61660400501,61660400491,SA,0,5824.0,6012.0,1,1,Malani,Malani,67.0,80.0,0,0,0,0,457039.0,445029.0,1780.0,1780.0,1,1,1,1,2.8838,-53.9846,2.9338,-54.0054,yes,river_river,river,river
24434001251,24434001243,EU,0,5760.0,6125.0,1,3,NODATA,NODATA,11.3,311.0,0,1,0,0,196440.0,193840.0,13073.0,13321.0,1,1,1,1,66.861,19.815,66.813,19.8842,yes,lake_or_tidal,river,lake_on_river
22769200141,22769200131,EU,0,5545.0,5682.0,1,1,Tysa,NODATA,94.0,108.0,0,0,0,3,2123553.0,2108032.0,5699.0,8020.0,1,1,2,1,47.9866,23.6609,48.007,23.5907,yes,river_river,river,river
83242100011,83243000033,NA,0,5486.0,5486.0,1,3,NODATA,NODATA,171.0,25767.0,0,3,0,3,314203.0,279349.0,141241.0,461712.0,1,1,2,1,64.1258,-95.4641,64.172,-95.4241,yes,lake_or_tidal,river,lake_on_river
22769200361,22769200131,EU,0,5466.0,5606.0,1,1,Teresva,NODATA,67.0,108.0,0,0,0,3,2123608.0,2108032.0,1212.0,8020.0,1,1,2,1,47.9879,23.6606,48.007,23.5907,yes,river_river,river,river
63498000681,63498000541,SA,0,5453.0,5772.0,1,1,Rio Itapecerica,NODATA,54.0,75.0,0,0,0,3,2511426.0,2503076.0,2309.0,4911.0,1,1,2,1,-20.1394,-44.8784,-20.0899,-44.8614,yes,river_river,river,river
41301103676,41301103661,AS,0,5395.0,5593.0,6,1,NODATA,NODATA,33.0,42.0,0,0,1,0,62602.0,62438.0,551.0,1039.0,0,1,1,1,35.9674,136.6051,35.9953,136.5532,yes,unreliable_or_ghost,ghost,river
17287000321,17288100011,AF,0,5285.0,5837.0,1,1,NODATA,NODATA,153.5,78.0,0,0,0,3,4483621.0,4472678.0,2066.0,294313.0,1,1,2,1,9.413,28.3836,9.4595,28.4086,yes,river_river,river,river
